view_count,likes,dislikes,comment_count,published_year,published_month,published_day,published_hour,published_minute,published_week
22436267,1403040,38157,98946,2020,10,18,0,19,42
10392035,427837,4738,15923,2021,5,31,21,59,22
10972479,908536,4767,147974,2021,11,30,9,0,48
4512187,280556,3873,31148,2020,12,28,22,59,53
22630086,2941439,24633,117481,2020,9,2,10,0,36
18697720,1002909,16393,43824,2020,11,14,21,0,46
5486859,845717,0,20347,2022,5,27,12,0,21
11702426,618211,10080,37363,2020,9,21,21,59,39
10608759,1654701,8281,170269,2021,10,12,8,56,41
1995392,86643,1381,5348,2021,2,1,14,0,5
29231708,1410060,33723,210697,2021,5,17,9,0,20
24032368,1664152,0,62158,2022,1,29,21,0,4
16457410,2664887,20087,109927,2020,9,2,10,0,36
30085653,1611133,14871,80728,2021,6,1,20,0,22
6715999,1070824,4515,204213,2021,3,10,11,0,10
82295292,6813142,73700,1419482,2021,3,12,5,0,10
4032661,169300,0,6128,2022,9,10,14,0,36
4062845,184735,0,3737,2022,4,16,14,0,15
8427280,441747,5145,19435,2021,9,29,18,15,39
6994564,413956,5581,24995,2020,8,31,21,59,36
34407928,1601637,14977,456610,2020,11,23,9,0,48
56922354,5171591,87305,71896,2021,7,23,13,0,29
5860120,287762,3938,26354,2020,8,11,17,38,33
5617685,275636,0,6475,2022,1,24,22,59,4
34062261,1661561,22132,101818,2021,3,13,21,0,10
3781029,730615,5219,96377,2021,4,5,9,0,14
8313970,396720,5221,18743,2021,6,28,22,0,26
8844818,464330,6606,26805,2020,8,31,21,59,36
26402927,1875743,0,66515,2021,12,18,21,0,50
9643805,619192,9983,46502,2021,8,25,18,10,34
22105567,1580706,25550,68040,2020,11,27,4,0,48
2227894,502792,1734,19764,2021,8,15,15,0,32
8696554,585306,7276,60359,2021,6,6,14,59,22
6995945,311656,4456,27408,2020,8,11,17,38,33
2055892,240844,0,15729,2022,8,22,15,0,34
9943254,1064114,5051,58224,2020,8,31,3,16,36
2292105,523848,1477,30888,2021,10,9,15,0,40
7133945,484454,7001,30866,2020,9,21,21,59,39
3744638,593612,2549,21960,2021,8,15,15,0,32
3776275,689697,0,18618,2022,5,27,12,0,21
28321450,1752607,22357,120674,2020,8,13,20,0,33
1045416,96387,2298,3768,2020,11,16,14,0,47
3164277,234769,3701,22318,2020,12,7,23,0,50
13372258,1882247,5875,149161,2020,10,4,20,0,40
33365363,1645112,21753,99460,2021,3,13,21,0,10
36570669,1424564,0,55476,2022,5,24,1,46,21
3063014,115602,0,2789,2022,6,8,15,0,23
26265748,2445707,15188,158570,2021,1,9,21,1,1
32207529,1657027,15784,83810,2021,6,1,20,0,22
40115126,1460290,0,45637,2022,6,1,18,0,22
3422800,151840,2320,7713,2021,7,28,15,0,30
1883415,152746,3621,5299,2020,11,16,14,0,47
7561566,371144,8307,31007,2020,8,24,17,17,35
2702343,95127,0,3041,2022,3,21,16,0,12
10607036,353812,6496,23947,2021,6,25,0,54,25
19132680,2307249,8965,167444,2020,10,4,20,0,40
6844515,366024,3554,25509,2020,11,21,20,40,47
7599693,336785,0,7231,2022,1,24,22,59,4
12305920,1019703,0,52449,2022,8,22,16,0,34
12553600,651524,7880,34820,2020,9,22,17,45,39
2828220,96806,0,3086,2022,3,21,16,0,12
22435385,653918,14661,56228,2021,4,7,18,45,14
5858449,1459968,0,116723,2022,6,29,15,0,26
6005689,394901,0,17943,2022,3,23,18,0,12
9385361,416650,8948,35185,2020,12,7,23,0,50
4649811,422408,0,21898,2022,9,16,19,0,37
26754569,1520106,0,48348,2022,9,3,19,59,35
12536635,533130,6062,29820,2020,10,31,19,4,44
15865147,2740990,21236,279167,2021,3,25,15,0,12
6746154,334095,3140,13274,2021,5,31,21,59,22
2898921,484349,4341,52350,2021,6,6,14,59,22
3973564,243832,0,5403,2022,6,4,14,0,22
391999,17195,571,2069,2020,9,1,17,20,36
28628642,1575772,14376,79475,2021,6,1,20,0,22
45424809,3127919,0,206768,2022,8,4,19,59,31
55407693,1515673,0,238170,2022,7,15,3,58,28
21041861,2511763,28132,82124,2021,9,12,15,0,36
5990602,1263322,8534,333061,2020,11,30,3,0,49
